fecha,commits,sesiones,horas
2026-04-30,8,1,1.4
2026-05-02,5,2,2.6
2026-05-04,9,3,5.0
2026-05-05,1,1,0.5
2026-05-06,4,2,1.3
2026-05-07,2,2,1.0
2026-05-08,5,1,1.1
2026-05-12,17,3,3.5
2026-05-13,52,2,7.6
2026-05-14,3,1,1.9
2026-05-15,10,1,4.0
2026-05-16,29,1,11.4
2026-05-17,11,4,6.4
2026-05-18,24,4,10.0
2026-05-19,47,2,4.9
2026-05-22,8,1,2.7
2026-05-24,43,1,7.8
2026-05-25,12,2,4.3
2026-05-26,22,3,6.5
2026-05-27,17,4,5.9
2026-05-28,38,1,8.7
2026-05-29,69,1,9.6
2026-05-30,98,1,4.5
2026-05-31,14,4,2.3
2026-06-01,19,6,6.3
2026-06-02,26,1,6.2
TOTAL,593,55,127.4
